Phone Number,Email,Credit Score,Age Group,Family Background,Income,Lead Intent
001-443-818-4791,brittanybonilla@example.com,574,36-50,Divorced,508172,0
205-719-9141,dawnflores@example.net,512,26-35,Divorced,671154,0
(246)217-3902x62216,jessicathompson@example.net,785,36-50,Divorced,710600,1
(316)561-1710x9119,adamvega@example.org,529,36-50,Married,187276,0
+1-991-306-1963,jimmywilliams@example.com,722,26-35,Married,529248,1
+1-759-909-9285x96432,vjohnson@example.net,455,26-35,Divorced,432630,0
936.576.3571x65706,dmartinez@example.org,534,51+,Divorced,654844,0
964.471.5009,butlerdavid@example.com,378,26-35,Divorced,392868,0
+1-215-356-1262,kneal@example.com,355,51+,Married,893567,0
(474)612-0858,nfernandez@example.net,664,26-35,Single,538851,1
001-335-630-5859x1058,kevinscott@example.com,804,26-35,Married,170790,0
478-695-1741x135,stevewilson@example.org,479,51+,Divorced,792899,0
+1-219-980-8930x847,wardfaith@example.net,402,18-25,Single,412555,0
396-351-5211,tduarte@example.net,542,18-25,Single,892870,0
9729647117,mharvey@example.net,739,51+,Married,497992,0
(743)850-6991x8911,chunt@example.net,375,18-25,Single,950155,0
(527)307-6706x103,lrocha@example.net,638,18-25,Divorced,316435,0
741-297-2563,theresa13@example.org,536,18-25,Single,397481,0
(259)933-1561x154,fobrien@example.org,455,51+,Married,866707,0
001-886-614-5207x116,wrightmatthew@example.org,708,36-50,Married,807890,1
731-544-5120x72112,amanda34@example.org,419,18-25,Divorced,657704,0
220-950-2544x35985,jesusallen@example.com,572,18-25,Single,901475,0
+1-669-652-0848x413,jessicawilliams@example.net,775,36-50,Married,988440,1
877-781-8797x5594,lewisterri@example.net,638,26-35,Divorced,202053,0
851-564-6060x2178,hsmith@example.org,802,18-25,Divorced,658184,1
001-816-444-7768x17071,njones@example.org,706,18-25,Married,626838,1
781.357.4521x731,gail49@example.org,318,36-50,Married,406206,0
+1-826-473-0579,amymorgan@example.com,692,18-25,Married,249072,0
(415)255-5751x698,brittany62@example.org,363,36-50,Divorced,943767,0
366-477-2159x79783,michaelramirez@example.org,770,51+,Married,596644,1
901-544-4374x2415,zprince@example.net,684,51+,Single,204893,0
+1-670-803-3634,hartedward@example.net,782,36-50,Divorced,183722,0
+1-802-968-1935,regina11@example.com,429,26-35,Married,821482,0
936-635-3389x312,slewis@example.org,726,51+,Married,294659,0
(737)980-8777,jenkinsdavid@example.com,537,18-25,Married,769446,0
(576)940-5645,elizabethjones@example.org,500,18-25,Married,605711,0
(276)532-9121,tammyaguirre@example.org,757,51+,Married,221498,0
+1-455-220-0943x1426,connie94@example.net,462,36-50,Single,643146,0
001-644-513-2574x0669,paultaylor@example.org,743,51+,Married,187478,0
246.860.3164x1698,nathanbyrd@example.com,599,18-25,Single,201260,0
+1-526-436-5553x8257,charlesmathis@example.org,597,18-25,Divorced,826036,0
883-910-2123x42848,simpsonsamantha@example.net,791,18-25,Divorced,991562,1
(295)988-5912,patrick51@example.com,406,26-35,Single,907354,0
749-753-9342x7724,daviseric@example.com,779,26-35,Married,390317,0
001-310-846-6995x3194,sarah51@example.net,337,36-50,Single,486026,0
+1-612-567-7241x80087,jhayes@example.com,662,18-25,Divorced,253603,0
(683)771-1580x383,raymond48@example.net,519,51+,Single,352997,0
(740)668-5194,john55@example.org,752,36-50,Single,616996,1
659-731-0709,cochranhailey@example.com,374,26-35,Married,498864,0
(535)385-8466x44533,william64@example.org,328,36-50,Divorced,976954,0
799.629.2795x4758,rshort@example.com,777,51+,Divorced,843267,1
(665)501-0551,williamsluis@example.com,804,26-35,Married,316847,0
001-324-881-0101,mcintyrelinda@example.com,474,36-50,Divorced,256402,0
403.349.1487x49929,uford@example.net,445,18-25,Married,696592,0
314.272.0888,davidhoward@example.net,426,51+,Divorced,276838,0
(351)269-1094x574,laura20@example.com,632,18-25,Single,184015,0
001-593-695-5942x704,cperry@example.net,813,18-25,Married,521240,1
231-298-3970,ypowell@example.com,348,18-25,Divorced,279120,0
2289268584,ljenkins@example.org,766,51+,Married,708880,1
001-237-827-6151x6806,nicholastaylor@example.com,690,26-35,Divorced,273044,0
(511)348-9785x57379,ochoajacqueline@example.org,490,26-35,Married,587333,0
801-516-1884,djackson@example.com,336,26-35,Divorced,382339,0
675.618.0759x3420,barbarawhite@example.net,558,18-25,Married,963086,0
001-732-993-9716,ckeith@example.com,346,18-25,Single,807910,0
679-693-7789,patelrenee@example.net,416,18-25,Divorced,955807,0
001-324-885-5026,castillokatherine@example.org,739,51+,Divorced,374958,0
557-945-2374x829,james48@example.com,468,36-50,Divorced,118177,0
3384652084,judypatrick@example.net,683,36-50,Divorced,329797,0
(810)419-2589x0980,zwilson@example.net,439,18-25,Single,460308,0
(552)676-4212x2992,stonejennifer@example.org,517,18-25,Single,295980,0
+1-565-257-1787,jamesmoody@example.org,770,51+,Married,317120,0
(314)519-4522x43191,emily84@example.net,585,51+,Single,486406,0
818-698-3032,abigail80@example.org,407,26-35,Married,232822,0
977-764-4008,orozcokenneth@example.net,594,36-50,Single,579720,0
+1-594-504-7203x6635,nguyenlisa@example.org,506,36-50,Divorced,974894,0
8586397235,sandra94@example.org,565,18-25,Divorced,230650,0
(313)909-6992x699,jordanreed@example.com,431,26-35,Single,268970,0
(887)926-8393,joshuaschmidt@example.com,437,26-35,Divorced,350391,0
274-483-1597,vwagner@example.net,688,26-35,Married,408778,0
982.664.7516,david92@example.net,441,51+,Divorced,953071,0
+1-508-266-3266x4335,garciacraig@example.net,617,36-50,Married,195657,0
265-848-6505x840,mckenziedaniel@example.com,327,36-50,Divorced,359963,0
+1-620-436-4048x55879,oramirez@example.net,653,51+,Divorced,435428,0
+1-830-560-1361x473,acarey@example.net,475,51+,Single,662702,0
+1-495-233-2015x42641,fsmith@example.net,310,36-50,Single,484081,0
+1-483-845-5958x202,cabrerajanice@example.com,812,26-35,Single,302587,0
2978056874,saralittle@example.net,782,26-35,Divorced,145780,0
812.555.2709x3754,amandasmith@example.org,463,36-50,Single,163046,0
528.855.8425,antoniodalton@example.org,494,18-25,Divorced,576833,0
528.307.3390,rachael99@example.org,785,51+,Single,820068,1
(829)874-7882,markarias@example.net,838,26-35,Single,164736,0
001-444-452-9362x40139,angela01@example.org,740,36-50,Divorced,955831,1
423-528-0815,allencharles@example.net,527,18-25,Married,478750,0
830.898.0312x3669,bestpatrick@example.org,446,51+,Divorced,304106,0
+1-622-411-9065x529,lisascott@example.org,505,26-35,Single,997324,0
001-612-530-0567x87091,dyoung@example.net,712,36-50,Single,925307,1
802-269-7997,shannon67@example.com,328,18-25,Married,248426,0
(221)338-6894,tracyalexander@example.org,588,36-50,Married,120461,0
001-302-945-9421,apeters@example.com,429,18-25,Single,931521,0
425.590.3330,cookamy@example.com,638,26-35,Married,332316,0
950.543.1047x67428,flee@example.com,464,51+,Divorced,743954,0
+1-672-653-1335,sanchezzachary@example.org,638,36-50,Single,513755,0
(453)434-4435x5084,dennismanning@example.org,633,26-35,Married,855790,0
001-918-407-0848x93568,ijones@example.com,548,26-35,Divorced,474609,0
548-505-3195x2498,josephbennett@example.org,602,36-50,Single,795666,0
488.984.1802,boonejames@example.net,362,26-35,Divorced,301383,0
(876)245-5299x907,ipoole@example.com,360,36-50,Married,251902,0
+1-410-933-8201x03786,heather33@example.com,834,18-25,Divorced,385753,0
328-226-7330x6560,johnny87@example.org,756,36-50,Divorced,160940,0
001-431-554-1609x92194,powellandrew@example.net,626,51+,Divorced,336449,0
411.768.6891x692,dmeyer@example.com,822,26-35,Single,718853,1
001-473-914-4941x2047,doylejennifer@example.net,740,36-50,Married,600129,1
001-531-836-4731x819,hdaniels@example.com,786,36-50,Single,200005,0
841.715.7708,michael59@example.net,565,26-35,Divorced,509090,0
+1-387-254-4752,melissa91@example.net,334,36-50,Single,298671,0
291-524-6666x43261,jonathan30@example.org,659,36-50,Married,849231,1
(368)336-4902,alexanderfuentes@example.org,339,26-35,Married,544573,0
883.786.1149x26804,patriciaashley@example.net,418,51+,Divorced,306161,0
(553)508-6539x27947,timothyhernandez@example.org,798,18-25,Single,337711,0
2378464028,sarahblackwell@example.com,836,18-25,Married,788670,1
+1-683-367-7732x3905,lisarodriguez@example.com,773,36-50,Married,782840,1
001-435-514-6258x542,daniel56@example.net,569,26-35,Single,587497,0
+1-828-218-5650x94311,jessicawebb@example.org,614,51+,Divorced,984307,0
001-541-612-1768x240,jamierhodes@example.com,571,51+,Married,107017,0
9085667525,lauren91@example.org,372,18-25,Divorced,112531,0
+1-809-269-7037x287,carolturner@example.net,745,26-35,Divorced,287513,0
550-644-4887x115,ywalker@example.net,705,51+,Divorced,592972,1
(245)756-3876x08275,teresahines@example.org,814,26-35,Divorced,703367,1
+1-359-841-4586x718,jenniferalexander@example.net,330,36-50,Married,964852,0
450-899-5405,markhutchinson@example.net,605,36-50,Divorced,414028,0
979.810.2107,xbowman@example.net,617,36-50,Divorced,338661,0
498.327.7989,amberortega@example.org,692,18-25,Married,228091,0
(603)762-2326,davidbaker@example.org,666,36-50,Single,399031,0
313-931-7432x50882,warrenhelen@example.com,375,51+,Single,173018,0
411.739.2980,inielsen@example.net,807,26-35,Single,153429,0
829-243-6769x91518,jillmartinez@example.org,417,36-50,Divorced,908382,0
636-814-8718x92514,pwhite@example.net,461,36-50,Married,114325,0
(266)698-0907x0796,allisontammy@example.com,305,36-50,Single,457227,0
001-853-621-1343x0909,kaufmanelizabeth@example.org,574,26-35,Married,315834,0
(944)402-9457x23697,rnichols@example.org,422,26-35,Divorced,228216,0
(367)967-4784,kathy34@example.org,546,36-50,Single,400561,0
001-255-487-2638x442,kimberly28@example.org,769,36-50,Divorced,631479,1
413-697-4475,jeremylee@example.net,320,36-50,Single,663910,0
640-837-3769x78183,zwhite@example.net,817,26-35,Divorced,459870,0
001-952-445-9520,whiteautumn@example.com,573,36-50,Divorced,625627,0
+1-969-328-9414,jjohnson@example.net,358,51+,Divorced,865154,0
787-505-0505,broberts@example.com,398,18-25,Married,492704,0
(640)205-7447x73673,troman@example.net,490,51+,Married,798256,0
9269115439,christinerice@example.net,577,36-50,Married,601421,0
001-984-864-7050,lthompson@example.com,386,26-35,Single,688483,0
(775)400-6395,harry86@example.net,429,26-35,Single,355943,0
223-728-4928x250,leahwalsh@example.com,561,51+,Single,807589,0
578.360.2652x721,mramirez@example.org,587,36-50,Single,469344,0
205.474.1953,swalker@example.org,392,36-50,Single,164229,0
5376632604,robertpage@example.org,710,18-25,Married,646041,1
(749)837-4993x545,hammondanthony@example.com,850,36-50,Divorced,447935,0
+1-423-391-9323x58893,pquinn@example.org,391,26-35,Single,846437,0
(769)434-7753x92348,johnhernandez@example.net,321,18-25,Married,148312,0
588.625.9232,carolyn67@example.org,683,51+,Married,653370,1
(275)414-7509x74927,brownmark@example.net,515,51+,Single,737573,0
(985)933-4692x89802,sdaniel@example.org,551,51+,Divorced,194422,0
(875)530-2848x21353,robinsonsteven@example.net,597,51+,Divorced,225709,0
(391)282-2163x720,biancafrench@example.org,720,36-50,Divorced,189779,0
001-759-627-3383x28430,haley06@example.org,807,36-50,Married,308989,0
920-943-7230x34701,yleon@example.org,744,26-35,Married,739740,1
2876896583,wclark@example.com,745,36-50,Divorced,267724,0
001-235-505-3277x210,colin48@example.org,801,18-25,Married,268593,0
248.732.2663x005,volson@example.com,589,18-25,Divorced,608829,0
+1-839-680-9010,richard98@example.net,505,18-25,Divorced,746683,0
276.877.9916,joel49@example.com,835,51+,Married,453648,0
(799)896-7041x04611,teresawatson@example.net,568,36-50,Divorced,906248,0
3496933375,fisherjohn@example.org,599,18-25,Married,873990,0
747-521-6603x32115,lthomas@example.org,486,51+,Single,627842,0
001-631-408-4657x90053,zwheeler@example.com,478,36-50,Married,399408,0
(834)685-1084x986,amandajohnson@example.net,385,18-25,Married,943369,0
7869642018,danielhood@example.net,652,26-35,Married,905093,1
588-777-5158,elizabeth20@example.com,390,51+,Single,431570,0
001-442-787-8311x862,anthonysweeney@example.org,343,36-50,Married,689324,0
+1-586-268-1812x817,jjackson@example.org,729,26-35,Married,451791,0
222.917.1949,leonard86@example.net,526,36-50,Single,569522,0
7853018604,stephanie14@example.net,457,36-50,Divorced,785494,0
525.425.6696x828,palexander@example.com,417,18-25,Married,870068,0
5322319493,jaclynlittle@example.com,395,36-50,Married,816969,0
595.443.2100,matthew25@example.net,617,36-50,Single,521323,0
860-409-5887x44163,carol07@example.net,457,51+,Single,471827,0
315-799-3463,turnercarol@example.org,466,26-35,Divorced,862468,0
5663769581,jrodriguez@example.com,682,51+,Divorced,640950,1
(716)526-6676,gjackson@example.org,446,26-35,Married,505405,0
6062181701,svalenzuela@example.com,589,51+,Single,695584,0
690.699.7835,qhicks@example.org,342,26-35,Married,848110,0
001-723-590-8482,blawrence@example.net,596,18-25,Married,501904,0
6328705686,jonathan45@example.org,556,18-25,Married,899612,0
923-235-0805x4343,dianevazquez@example.net,751,26-35,Married,516850,1
325.735.4332,jacquelinejones@example.net,663,51+,Divorced,951317,1
722.646.7910x28170,joseellison@example.com,416,36-50,Married,656059,0
001-413-983-4603,wumelissa@example.com,492,36-50,Divorced,450509,0
653-742-3642,diane84@example.com,842,51+,Divorced,615320,1
634-312-4753,dennisjohnson@example.net,680,36-50,Single,422025,0
595.254.7951,garciatamara@example.net,391,26-35,Divorced,485630,0
697-592-8504x6623,ifitzgerald@example.net,640,18-25,Single,784385,0
849.588.6133x196,ygarcia@example.net,793,18-25,Married,412717,0
919-863-6565x3078,jameswang@example.net,490,36-50,Divorced,336452,0
971-320-5125x6736,chill@example.net,653,36-50,Married,362373,0
637-605-9613x1755,youngjasmine@example.org,733,26-35,Married,686856,1
001-571-333-7170x9068,bjones@example.com,650,18-25,Married,217031,0
7238725973,cristina56@example.net,566,26-35,Divorced,858132,0
(372)209-1343x5765,amber68@example.com,354,26-35,Married,103696,0
+1-904-495-4096x76275,samuel91@example.net,821,26-35,Married,203877,0
001-939-606-5453x796,arnoldlindsay@example.org,519,26-35,Single,979234,0
001-393-897-8861x4818,shelbyguzman@example.net,704,18-25,Single,666080,1
917.742.1469x82666,cory11@example.com,668,18-25,Single,438050,0
001-920-595-0603x497,vanessa93@example.org,368,51+,Divorced,993164,0
871.280.7926x8693,huertamarie@example.net,364,18-25,Single,388905,0
001-619-693-1242x59388,ricardoalexander@example.org,426,26-35,Single,581236,0
(232)317-4258x483,robertfrost@example.com,484,18-25,Single,137019,0
6273985248,phillip48@example.net,805,51+,Divorced,281388,0
(247)855-6930x801,oliverdanielle@example.net,776,18-25,Divorced,444126,0
992.394.8414x87054,curtis56@example.com,561,36-50,Married,657844,0
892.708.4237x8351,johnsongina@example.org,308,36-50,Divorced,193021,0
+1-979-262-6854x05850,whitejessica@example.com,381,18-25,Divorced,897343,0
001-517-781-1977,jasonjohns@example.com,606,26-35,Divorced,941063,0
(761)472-0730x748,benjamin34@example.org,708,18-25,Single,375849,0
922.490.1893x5234,stephen03@example.org,437,36-50,Single,562099,0
3523976582,brian45@example.com,532,18-25,Single,402570,0
+1-297-737-4795x4166,houseelizabeth@example.org,772,51+,Married,683827,1
001-263-985-7139,fischerricky@example.com,490,51+,Married,522738,0
884-662-8019x94896,hickscarrie@example.org,785,18-25,Single,222543,0
001-779-829-7519x696,mitchellronald@example.net,668,26-35,Married,859017,1
001-933-931-3767x3931,williamparker@example.net,479,51+,Single,544176,0
957-445-3501,aspencer@example.net,803,26-35,Divorced,557859,1
980.609.0088x33504,smithheather@example.net,344,51+,Divorced,113275,0
+1-828-511-7815x44532,robertsjacqueline@example.com,341,51+,Single,170200,0
573-418-3811x861,dcolon@example.net,658,36-50,Married,181883,0
(803)515-5709x75037,meganwade@example.com,791,36-50,Single,520877,1
001-802-933-3037x4771,anthony46@example.net,632,26-35,Divorced,577667,0
(565)333-0937x44187,lisa25@example.com,499,26-35,Married,699923,0
+1-707-281-7396x6004,anthony82@example.net,778,36-50,Married,818395,1
340-853-3306x60671,mhughes@example.org,671,51+,Married,174494,0
+1-866-261-4038x197,jordankristin@example.com,401,51+,Single,156927,0
(860)363-5061,adam77@example.org,614,26-35,Married,343568,0
001-285-454-3347x420,emilygraham@example.net,353,51+,Single,361602,0
463.888.2490,peter03@example.net,355,26-35,Married,571348,0
(209)690-9828x5925,goodmaneduardo@example.com,817,18-25,Divorced,100568,0
674.401.3535x2737,jasmincarroll@example.org,801,51+,Divorced,412024,0
661-591-8851x69985,joshuavaldez@example.net,743,51+,Married,875760,1
001-280-335-0133x774,alvarezmeghan@example.net,779,26-35,Divorced,618838,1
+1-644-300-8804,cassandrabutler@example.net,419,36-50,Single,387829,0
282-309-3849x026,donnacollins@example.net,755,26-35,Divorced,373112,0
816.294.4906x342,madisonroth@example.org,643,18-25,Divorced,206400,0
(309)666-8770x8923,fordelizabeth@example.com,532,26-35,Married,676259,0
(919)538-9764,hernandezkim@example.org,694,51+,Married,533934,1
001-927-204-0736,qirwin@example.com,636,51+,Divorced,505141,0
(314)357-4003x396,umoore@example.org,336,18-25,Single,582730,0
923-245-2064x0099,ngrant@example.net,839,26-35,Single,801618,1
001-510-403-8798x47777,benjaminforbes@example.net,714,26-35,Single,404228,0
949-477-8781,wilsonkathryn@example.net,759,36-50,Divorced,174675,0
+1-723-825-5629,uvaldez@example.com,561,18-25,Single,289344,0
312.487.6262x438,orozcobob@example.com,541,26-35,Married,808227,0
+1-689-793-5523x006,thomas36@example.com,485,18-25,Divorced,253226,0
435-946-1202,williamfoster@example.net,799,51+,Married,555293,1
669.402.5795x664,bretttaylor@example.com,490,36-50,Divorced,518884,0
(654)589-1085x4698,barbara45@example.net,424,51+,Married,666135,0
886-718-4827,matthew56@example.org,802,18-25,Married,318730,0
500-337-0482x080,jennifer56@example.org,784,36-50,Married,288451,0
+1-917-723-6583x271,nancymorgan@example.org,794,18-25,Single,709894,1
358-229-6247,timothyprince@example.net,472,51+,Married,181932,0
+1-370-384-5435x966,justinmejia@example.com,618,36-50,Single,975308,0
641.839.0649,thompsonpamela@example.com,384,51+,Divorced,677741,0
3679684900,stricklandkeith@example.net,595,18-25,Single,798731,0
001-220-930-1943x17855,donnawright@example.net,317,36-50,Divorced,797645,0
+1-363-676-8397,ibennett@example.net,641,51+,Single,249957,0
+1-862-201-3458,deborah96@example.com,438,51+,Married,372943,0
627-211-6933x274,dstrickland@example.net,789,18-25,Single,613923,1
742.618.4223,brian01@example.org,582,18-25,Married,164209,0
+1-969-667-6932x55189,johnharding@example.com,323,36-50,Single,341506,0
724-667-1254x18239,stephaniegarcia@example.com,791,51+,Single,183696,0
4367011376,gileskyle@example.com,714,36-50,Divorced,766050,1
001-896-657-7843x2398,nbennett@example.org,738,18-25,Divorced,872608,1
580-379-0991,scottheather@example.org,685,26-35,Married,866178,1
001-624-596-4100x26476,lmcdowell@example.com,561,51+,Divorced,466503,0
949.286.1622x158,danielreed@example.net,797,26-35,Divorced,466611,0
001-833-279-0459,nelsonrenee@example.net,650,36-50,Single,852723,0
936.793.9633x9204,ckim@example.com,800,51+,Divorced,494902,0
607-940-0347,lsmith@example.com,698,51+,Divorced,734596,1
+1-627-601-4831x077,gregoryrhodes@example.net,565,18-25,Married,358525,0
+1-940-320-9244x34563,robertyoung@example.net,503,36-50,Divorced,369443,0
607-910-3637,susandaniel@example.org,433,18-25,Divorced,438277,0
(738)321-9503,patrickcruz@example.org,363,26-35,Divorced,974921,0
303-806-8034x0265,michellewright@example.net,673,18-25,Single,931825,1
(742)251-7012,rebekah70@example.org,767,51+,Divorced,969850,1
(462)921-8554x854,nelsonjohn@example.org,775,18-25,Married,730644,1
612-612-6331,jmiller@example.org,708,36-50,Divorced,883529,1
(832)653-8363,joseph14@example.com,381,36-50,Married,839927,0
+1-813-208-1220,fischerroger@example.net,607,36-50,Single,197758,0
+1-225-496-4698x0548,sblair@example.com,317,18-25,Married,465976,0
607-510-6045,xdaniels@example.org,371,36-50,Single,360490,0
001-767-585-9094x165,brookskatherine@example.com,806,26-35,Single,225236,0
930.502.1610,lfernandez@example.org,730,26-35,Married,970764,1
(807)536-3245x26143,kelly20@example.net,593,26-35,Single,573175,0
803-631-6254,tiffanypowell@example.net,636,36-50,Divorced,124901,0
9427238692,barryaustin@example.org,562,26-35,Married,192996,0
315-631-8407x5112,lauragreen@example.net,309,36-50,Single,277528,0
001-581-946-2412,kelsey99@example.com,701,36-50,Single,818463,1
429.371.0272,olsoncrystal@example.com,609,18-25,Married,658092,0
212-527-1918,philip77@example.net,588,26-35,Single,494692,0
8029433311,wlopez@example.org,411,51+,Married,310618,0
001-233-399-4287,megan18@example.com,308,36-50,Married,928874,0
4354436379,uhunter@example.org,439,18-25,Married,911844,0
(239)688-2029x06216,imays@example.com,686,51+,Married,102063,0
801.744.3837x551,amyreed@example.com,642,51+,Married,577428,0
806-867-5646x1080,mblevins@example.net,670,26-35,Single,149116,0
+1-607-458-8474x7866,kenneth95@example.net,538,26-35,Divorced,991060,0
5823254342,wroberts@example.net,737,51+,Single,251633,0
418.646.2071x61434,djohnson@example.com,625,36-50,Married,579696,0
2912448221,gomezadam@example.org,639,26-35,Divorced,204297,0
383-988-0399x746,huberpaul@example.com,479,51+,Single,374429,0
824-982-2690x951,tpalmer@example.net,413,36-50,Divorced,294081,0
(466)844-6446x11366,patrickmorris@example.com,450,26-35,Married,921771,0
761-431-7357,erikacarter@example.com,808,36-50,Single,406157,0
722.865.4328x71813,emoore@example.net,840,18-25,Married,117792,0
522-891-0925x21074,crystal50@example.org,329,18-25,Single,462676,0
9219394694,brenda27@example.org,581,18-25,Single,674030,0
890-713-0479x521,jared17@example.org,673,26-35,Single,560022,1
(718)585-5749,craig97@example.com,708,36-50,Single,943612,1
218.800.1096x7079,lcisneros@example.com,785,36-50,Single,944623,1
2054940671,alexis53@example.org,549,18-25,Married,109996,0
001-877-966-2602x393,shodge@example.com,737,18-25,Single,881147,1
424-932-6695,daviscasey@example.org,644,51+,Divorced,472830,0
7076971548,osutton@example.net,755,36-50,Divorced,662707,1
792.670.1625,bhuffman@example.com,330,18-25,Divorced,522014,0
277.589.2568x66974,dixonsamantha@example.com,830,36-50,Married,967904,1
001-619-771-3374,nicholas08@example.org,673,36-50,Married,703208,1
567.600.8634x52989,burnettsherry@example.org,676,51+,Divorced,239709,0
544.997.1645x220,melissa35@example.org,671,26-35,Single,968553,1
+1-813-826-2886x2633,obrienjason@example.com,588,51+,Single,607517,0
724-748-2786x7856,xturner@example.net,475,51+,Single,530198,0
538.521.1653x250,elizabethcantu@example.com,784,36-50,Divorced,271383,0
(458)949-7149,xhall@example.com,512,18-25,Married,743985,0
743-638-2735,scottharrington@example.org,617,51+,Single,441205,0
+1-970-890-8128x6006,danielmontgomery@example.com,755,18-25,Married,792565,1
(658)981-4559x72932,sadams@example.org,792,36-50,Divorced,443020,0
826.819.3717,gregory83@example.net,320,36-50,Single,959537,0
+1-485-670-9362,jason27@example.com,359,36-50,Single,231564,0
553-596-2808x3542,blackburnalison@example.com,509,36-50,Single,497705,0
001-255-647-5022x517,johncurry@example.org,501,26-35,Married,332930,0
001-904-758-6711x4681,maxwellanthony@example.org,453,18-25,Married,405939,0
(996)325-9104,westroy@example.com,804,36-50,Single,323737,0
8276849872,wkirk@example.org,748,51+,Single,765735,1
804-849-7346x5580,pamela76@example.com,428,26-35,Divorced,974977,0
001-767-432-6259x9872,brad27@example.com,620,18-25,Married,733135,0
873.977.7632,williamsbrian@example.com,468,18-25,Single,944160,0
8833544736,williamstravis@example.org,807,26-35,Married,429124,0
(436)398-8730x32316,matthew44@example.org,572,36-50,Divorced,231306,0
+1-348-445-4998x3298,sgonzalez@example.org,594,18-25,Divorced,653279,0
800.641.0990,robertmiller@example.org,763,18-25,Single,103814,0
(531)395-9743,davisapril@example.com,632,26-35,Married,252562,0
245-337-8270x40467,ryanedwards@example.org,833,51+,Married,998106,1
814.755.2274x42419,petersonalejandro@example.org,587,36-50,Married,437515,0
+1-755-761-2969,dianegoodman@example.org,605,18-25,Divorced,263906,0
5562686693,steven12@example.org,603,18-25,Married,377481,0
